'Time and date','Cz..'
'[16:15:01.081 12/08/2009]',-44.000
'[16:15:01.088 12/08/2009]',-17.000
'[16:15:01.094 12/08/2009]',-23.000
'[16:15:01.100 12/08/2009]',-39.000
'[16:15:01.106 12/08/2009]',-6.000
'[16:15:01.113 12/08/2009]',-34.000
'[16:15:01.119 12/08/2009]',-5.000
'[16:15:01.125 12/08/2009]',-24.000
'[16:15:01.131 12/08/2009]',-18.000
'[16:15:01.138 12/08/2009]',3.000
'[16:15:01.144 12/08/2009]',-8.000
'[16:15:01.150 12/08/2009]',-6.000
'[16:15:01.156 12/08/2009]',-38.000
'[16:15:01.163 12/08/2009]',-44.000
'[16:15:01.169 12/08/2009]',-20.000
'[16:15:01.175 12/08/2009]',-30.000
'[16:15:01.181 12/08/2009]',-28.000
'[16:15:01.188 12/08/2009]',-18.000
'[16:15:01.194 12/08/2009]',-22.000
'[16:15:01.200 12/08/2009]',-11.000
'[16:15:01.206 12/08/2009]',43.000
'[16:15:01.213 12/08/2009]',23.000
'[16:15:01.219 12/08/2009]',21.000
'[16:15:01.225 12/08/2009]',42.000
'[16:15:01.231 12/08/2009]',21.000
'[16:15:01.238 12/08/2009]',48.000
'[16:15:01.244 12/08/2009]',28.000
'[16:15:01.250 12/08/2009]',35.000
'[16:15:01.256 12/08/2009]',33.000
'[16:15:01.263 12/08/2009]',37.000
'[16:15:01.269 12/08/2009]',37.000
'[16:15:01.275 12/08/2009]',40.000
'[16:15:01.281 12/08/2009]',26.000
'[16:15:01.288 12/08/2009]',25.000
'[16:15:01.294 12/08/2009]',17.000
'[16:15:01.300 12/08/2009]',4.000
'[16:15:01.306 12/08/2009]',6.000
'[16:15:01.313 12/08/2009]',6.000
'[16:15:01.319 12/08/2009]',40.000
'[16:15:01.325 12/08/2009]',24.000
'[16:15:01.331 12/08/2009]',29.000
'[16:15:01.338 12/08/2009]',15.000
'[16:15:01.344 12/08/2009]',2.000
'[16:15:01.350 12/08/2009]',-16.000
'[16:15:01.356 12/08/2009]',-6.000
'[16:15:01.363 12/08/2009]',-15.000
'[16:15:01.369 12/08/2009]',-4.000
'[16:15:01.375 12/08/2009]',-32.000
'[16:15:01.381 12/08/2009]',-27.000
'[16:15:01.388 12/08/2009]',-24.000
'[16:15:01.394 12/08/2009]',-21.000
'[16:15:01.400 12/08/2009]',-40.000
'[16:15:01.406 12/08/2009]',-45.000
'[16:15:01.413 12/08/2009]',-30.000
'[16:15:01.419 12/08/2009]',-32.000
'[16:15:01.425 12/08/2009]',-15.000
'[16:15:01.431 12/08/2009]',-13.000
'[16:15:01.438 12/08/2009]',6.000
'[16:15:01.444 12/08/2009]',-2.000
'[16:15:01.450 12/08/2009]',-7.000
'[16:15:01.456 12/08/2009]',11.000
'[16:15:01.463 12/08/2009]',10.000
'[16:15:01.469 12/08/2009]',11.000
'[16:15:01.475 12/08/2009]',-5.000
'[16:15:01.481 12/08/2009]',-16.000
'[16:15:01.488 12/08/2009]',-5.000
'[16:15:01.494 12/08/2009]',-19.000
'[16:15:01.500 12/08/2009]',-14.000
'[16:15:01.506 12/08/2009]',-2.000
'[16:15:01.513 12/08/2009]',-26.000
'[16:15:01.519 12/08/2009]',-29.000
'[16:15:01.525 12/08/2009]',-13.000
'[16:15:01.531 12/08/2009]',-28.000
'[16:15:01.538 12/08/2009]',-14.000
'[16:15:01.544 12/08/2009]',-9.000
'[16:15:01.550 12/08/2009]',34.000
'[16:15:01.556 12/08/2009]',-6.000
'[16:15:01.563 12/08/2009]',-27.000
'[16:15:01.569 12/08/2009]',-17.000
'[16:15:01.575 12/08/2009]',-24.000
'[16:15:01.581 12/08/2009]',-36.000
'[16:15:01.588 12/08/2009]',-58.000
'[16:15:01.594 12/08/2009]',-72.000
'[16:15:01.600 12/08/2009]',-79.000
'[16:15:01.606 12/08/2009]',-34.000
'[16:15:01.613 12/08/2009]',-31.000
'[16:15:01.619 12/08/2009]',-52.000
'[16:15:01.625 12/08/2009]',-39.000
'[16:15:01.631 12/08/2009]',-29.000
'[16:15:01.638 12/08/2009]',-25.000
'[16:15:01.644 12/08/2009]',-40.000
'[16:15:01.650 12/08/2009]',-30.000
'[16:15:01.656 12/08/2009]',-21.000
'[16:15:01.663 12/08/2009]',-30.000
'[16:15:01.669 12/08/2009]',-20.000
'[16:15:01.675 12/08/2009]',-28.000
'[16:15:01.681 12/08/2009]',-13.000
'[16:15:01.688 12/08/2009]',7.000
'[16:15:01.694 12/08/2009]',-26.000
'[16:15:01.700 12/08/2009]',-21.000
'[16:15:01.706 12/08/2009]',-14.000
'[16:15:01.713 12/08/2009]',-4.000
'[16:15:01.719 12/08/2009]',27.000
'[16:15:01.725 12/08/2009]',21.000
'[16:15:01.731 12/08/2009]',31.000
'[16:15:01.738 12/08/2009]',67.000
'[16:15:01.744 12/08/2009]',71.000
'[16:15:01.750 12/08/2009]',86.000
'[16:15:01.756 12/08/2009]',86.000
'[16:15:01.763 12/08/2009]',68.000
'[16:15:01.769 12/08/2009]',73.000
'[16:15:01.775 12/08/2009]',56.000
'[16:15:01.781 12/08/2009]',43.000
'[16:15:01.788 12/08/2009]',41.000
'[16:15:01.794 12/08/2009]',24.000
'[16:15:01.800 12/08/2009]',11.000
'[16:15:01.806 12/08/2009]',-24.000
'[16:15:01.813 12/08/2009]',-28.000
'[16:15:01.819 12/08/2009]',6.000
'[16:15:01.825 12/08/2009]',-11.000
'[16:15:01.831 12/08/2009]',-1.000
'[16:15:01.838 12/08/2009]',-5.000
'[16:15:01.844 12/08/2009]',-20.000
'[16:15:01.850 12/08/2009]',7.000
'[16:15:01.856 12/08/2009]',9.000
'[16:15:01.863 12/08/2009]',-9.000
'[16:15:01.869 12/08/2009]',17.000
'[16:15:01.875 12/08/2009]',-6.000
'[16:15:01.881 12/08/2009]',5.000
'[16:15:01.888 12/08/2009]',19.000
'[16:15:01.894 12/08/2009]',27.000
'[16:15:01.900 12/08/2009]',30.000
'[16:15:01.906 12/08/2009]',65.000
'[16:15:01.913 12/08/2009]',35.000
'[16:15:01.919 12/08/2009]',34.000
'[16:15:01.925 12/08/2009]',36.000
'[16:15:01.931 12/08/2009]',20.000
'[16:15:01.938 12/08/2009]',14.000
'[16:15:01.944 12/08/2009]',21.000
'[16:15:01.950 12/08/2009]',52.000
'[16:15:01.956 12/08/2009]',105.000
'[16:15:01.963 12/08/2009]',125.000
'[16:15:01.969 12/08/2009]',89.000
'[16:15:01.975 12/08/2009]',26.000
'[16:15:01.981 12/08/2009]',-22.000
'[16:15:01.988 12/08/2009]',-21.000
'[16:15:01.994 12/08/2009]',-39.000
'[16:15:02.000 12/08/2009]',-25.000
'[16:15:02.006 12/08/2009]',0.000
'[16:15:02.013 12/08/2009]',14.000
'[16:15:02.019 12/08/2009]',36.000
'[16:15:02.025 12/08/2009]',51.000
'[16:15:02.031 12/08/2009]',45.000
'[16:15:02.038 12/08/2009]',65.000
'[16:15:02.044 12/08/2009]',22.000
'[16:15:02.050 12/08/2009]',21.000
'[16:15:02.056 12/08/2009]',28.000
'[16:15:02.063 12/08/2009]',10.000
'[16:15:02.069 12/08/2009]',33.000
'[16:15:02.075 12/08/2009]',11.000
'[16:15:02.081 12/08/2009]',4.000
'[16:15:02.088 12/08/2009]',-9.000
'[16:15:02.094 12/08/2009]',-35.000
'[16:15:02.100 12/08/2009]',-24.000
'[16:15:02.106 12/08/2009]',-33.000
'[16:15:02.113 12/08/2009]',-38.000
'[16:15:02.119 12/08/2009]',-30.000
'[16:15:02.125 12/08/2009]',-49.000
'[16:15:02.131 12/08/2009]',-51.000
'[16:15:02.138 12/08/2009]',-32.000
'[16:15:02.144 12/08/2009]',-15.000
'[16:15:02.150 12/08/2009]',12.000
'[16:15:02.156 12/08/2009]',17.000
'[16:15:02.163 12/08/2009]',22.000
'[16:15:02.169 12/08/2009]',37.000
'[16:15:02.175 12/08/2009]',65.000
'[16:15:02.181 12/08/2009]',61.000
'[16:15:02.188 12/08/2009]',66.000
'[16:15:02.194 12/08/2009]',62.000
'[16:15:02.200 12/08/2009]',24.000
'[16:15:02.206 12/08/2009]',20.000
'[16:15:02.213 12/08/2009]',-21.000
'[16:15:02.219 12/08/2009]',-15.000
'[16:15:02.225 12/08/2009]',-42.000
'[16:15:02.231 12/08/2009]',-44.000
'[16:15:02.238 12/08/2009]',-45.000
'[16:15:02.244 12/08/2009]',-73.000
'[16:15:02.250 12/08/2009]',-64.000
'[16:15:02.256 12/08/2009]',-83.000
'[16:15:02.263 12/08/2009]',-55.000
'[16:15:02.269 12/08/2009]',-68.000
'[16:15:02.275 12/08/2009]',-88.000
'[16:15:02.281 12/08/2009]',-88.000
'[16:15:02.288 12/08/2009]',-53.000
'[16:15:02.294 12/08/2009]',-55.000
'[16:15:02.300 12/08/2009]',-42.000
'[16:15:02.306 12/08/2009]',-31.000
'[16:15:02.313 12/08/2009]',-33.000
'[16:15:02.319 12/08/2009]',-28.000
'[16:15:02.325 12/08/2009]',-26.000
'[16:15:02.331 12/08/2009]',-37.000
'[16:15:02.338 12/08/2009]',-46.000
'[16:15:02.344 12/08/2009]',-53.000
'[16:15:02.350 12/08/2009]',-44.000
'[16:15:02.356 12/08/2009]',-28.000
'[16:15:02.363 12/08/2009]',-44.000
'[16:15:02.369 12/08/2009]',-31.000
'[16:15:02.375 12/08/2009]',-41.000
'[16:15:02.381 12/08/2009]',-39.000
'[16:15:02.388 12/08/2009]',-9.000
'[16:15:02.394 12/08/2009]',-4.000
'[16:15:02.400 12/08/2009]',-23.000
'[16:15:02.406 12/08/2009]',1.000
'[16:15:02.413 12/08/2009]',-9.000
'[16:15:02.419 12/08/2009]',-16.000
'[16:15:02.425 12/08/2009]',-35.000
'[16:15:02.431 12/08/2009]',-45.000
'[16:15:02.438 12/08/2009]',-39.000
'[16:15:02.444 12/08/2009]',-20.000
'[16:15:02.450 12/08/2009]',-35.000
'[16:15:02.456 12/08/2009]',-33.000
'[16:15:02.463 12/08/2009]',-42.000
'[16:15:02.469 12/08/2009]',-21.000
'[16:15:02.475 12/08/2009]',1.000
'[16:15:02.481 12/08/2009]',-11.000
'[16:15:02.488 12/08/2009]',12.000
'[16:15:02.494 12/08/2009]',33.000
'[16:15:02.500 12/08/2009]',18.000
'[16:15:02.506 12/08/2009]',19.000
'[16:15:02.513 12/08/2009]',6.000
'[16:15:02.519 12/08/2009]',27.000
'[16:15:02.525 12/08/2009]',30.000
'[16:15:02.531 12/08/2009]',26.000
'[16:15:02.538 12/08/2009]',36.000
'[16:15:02.544 12/08/2009]',37.000
'[16:15:02.550 12/08/2009]',46.000
'[16:15:02.556 12/08/2009]',53.000
'[16:15:02.563 12/08/2009]',37.000
'[16:15:02.569 12/08/2009]',41.000
'[16:15:02.575 12/08/2009]',16.000
'[16:15:02.581 12/08/2009]',26.000
'[16:15:02.588 12/08/2009]',41.000
'[16:15:02.594 12/08/2009]',31.000
'[16:15:02.600 12/08/2009]',35.000
'[16:15:02.606 12/08/2009]',26.000
'[16:15:02.613 12/08/2009]',19.000
'[16:15:02.619 12/08/2009]',13.000
'[16:15:02.625 12/08/2009]',21.000
'[16:15:02.631 12/08/2009]',5.000
'[16:15:02.638 12/08/2009]',18.000
'[16:15:02.644 12/08/2009]',-18.000
'[16:15:02.650 12/08/2009]',14.000
'[16:15:02.656 12/08/2009]',-27.000
'[16:15:02.663 12/08/2009]',-17.000
'[16:15:02.669 12/08/2009]',10.000
'[16:15:02.675 12/08/2009]',5.000
'[16:15:02.681 12/08/2009]',6.000
'[16:15:02.688 12/08/2009]',8.000
'[16:15:02.694 12/08/2009]',12.000
'[16:15:02.700 12/08/2009]',10.000
'[16:15:02.706 12/08/2009]',30.000
'[16:15:02.713 12/08/2009]',35.000
'[16:15:02.719 12/08/2009]',45.000
'[16:15:02.725 12/08/2009]',45.000
'[16:15:02.731 12/08/2009]',62.000
'[16:15:02.738 12/08/2009]',24.000
'[16:15:02.744 12/08/2009]',52.000
'[16:15:02.750 12/08/2009]',36.000
'[16:15:02.756 12/08/2009]',55.000
'[16:15:02.763 12/08/2009]',35.000
'[16:15:02.769 12/08/2009]',25.000
'[16:15:02.775 12/08/2009]',34.000
'[16:15:02.781 12/08/2009]',7.000
'[16:15:02.788 12/08/2009]',3.000
'[16:15:02.794 12/08/2009]',4.000
'[16:15:02.800 12/08/2009]',-27.000
'[16:15:02.806 12/08/2009]',-23.000
'[16:15:02.813 12/08/2009]',-44.000
'[16:15:02.819 12/08/2009]',-62.000
'[16:15:02.825 12/08/2009]',-59.000
'[16:15:02.831 12/08/2009]',-77.000
'[16:15:02.838 12/08/2009]',-77.000
'[16:15:02.844 12/08/2009]',-48.000
'[16:15:02.850 12/08/2009]',-11.000
'[16:15:02.856 12/08/2009]',48.000
'[16:15:02.863 12/08/2009]',30.000
'[16:15:02.869 12/08/2009]',12.000
'[16:15:02.875 12/08/2009]',-29.000
'[16:15:02.881 12/08/2009]',-26.000
'[16:15:02.888 12/08/2009]',-11.000
'[16:15:02.894 12/08/2009]',-3.000
'[16:15:02.900 12/08/2009]',27.000
'[16:15:02.906 12/08/2009]',36.000
'[16:15:02.913 12/08/2009]',39.000
'[16:15:02.919 12/08/2009]',49.000
'[16:15:02.925 12/08/2009]',51.000
'[16:15:02.931 12/08/2009]',36.000
'[16:15:02.938 12/08/2009]',18.000
'[16:15:02.944 12/08/2009]',21.000
'[16:15:02.950 12/08/2009]',3.000
'[16:15:02.956 12/08/2009]',-5.000
'[16:15:02.963 12/08/2009]',-14.000
'[16:15:02.969 12/08/2009]',-38.000
'[16:15:02.975 12/08/2009]',-50.000
'[16:15:02.981 12/08/2009]',-47.000
'[16:15:02.988 12/08/2009]',-32.000
'[16:15:02.994 12/08/2009]',-55.000
'[16:15:03.000 12/08/2009]',-34.000
'[16:15:03.006 12/08/2009]',-15.000
'[16:15:03.013 12/08/2009]',-19.000
'[16:15:03.019 12/08/2009]',-21.000
'[16:15:03.025 12/08/2009]',-3.000
'[16:15:03.031 12/08/2009]',8.000
'[16:15:03.038 12/08/2009]',-8.000
'[16:15:03.044 12/08/2009]',7.000
'[16:15:03.050 12/08/2009]',21.000
'[16:15:03.056 12/08/2009]',36.000
'[16:15:03.063 12/08/2009]',50.000
'[16:15:03.069 12/08/2009]',69.000
'[16:15:03.075 12/08/2009]',51.000
'[16:15:03.081 12/08/2009]',37.000
'[16:15:03.088 12/08/2009]',62.000
'[16:15:03.094 12/08/2009]',50.000
'[16:15:03.100 12/08/2009]',46.000
'[16:15:03.106 12/08/2009]',63.000
'[16:15:03.113 12/08/2009]',41.000
'[16:15:03.119 12/08/2009]',26.000
'[16:15:03.125 12/08/2009]',5.000
'[16:15:03.131 12/08/2009]',-1.000
'[16:15:03.138 12/08/2009]',-1.000
'[16:15:03.144 12/08/2009]',-14.000
'[16:15:03.150 12/08/2009]',-41.000
'[16:15:03.156 12/08/2009]',-39.000
'[16:15:03.163 12/08/2009]',-40.000
'[16:15:03.169 12/08/2009]',-27.000
'[16:15:03.175 12/08/2009]',-5.000
'[16:15:03.181 12/08/2009]',-22.000
'[16:15:03.188 12/08/2009]',1.000
'[16:15:03.194 12/08/2009]',20.000
'[16:15:03.200 12/08/2009]',39.000
'[16:15:03.206 12/08/2009]',60.000
'[16:15:03.213 12/08/2009]',90.000
'[16:15:03.219 12/08/2009]',118.000
'[16:15:03.225 12/08/2009]',89.000
'[16:15:03.231 12/08/2009]',69.000
'[16:15:03.238 12/08/2009]',52.000
'[16:15:03.244 12/08/2009]',59.000
'[16:15:03.250 12/08/2009]',62.000
'[16:15:03.256 12/08/2009]',50.000
'[16:15:03.263 12/08/2009]',43.000
'[16:15:03.269 12/08/2009]',42.000
'[16:15:03.275 12/08/2009]',1.000
'[16:15:03.281 12/08/2009]',-4.000
'[16:15:03.288 12/08/2009]',-16.000
'[16:15:03.294 12/08/2009]',-17.000
'[16:15:03.300 12/08/2009]',-18.000
'[16:15:03.306 12/08/2009]',-44.000
'[16:15:03.313 12/08/2009]',-50.000
'[16:15:03.319 12/08/2009]',-33.000
'[16:15:03.325 12/08/2009]',-39.000
'[16:15:03.331 12/08/2009]',-46.000
'[16:15:03.338 12/08/2009]',-32.000
'[16:15:03.344 12/08/2009]',-62.000
'[16:15:03.350 12/08/2009]',-57.000
'[16:15:03.356 12/08/2009]',-55.000
'[16:15:03.363 12/08/2009]',-64.000
'[16:15:03.369 12/08/2009]',-25.000
'[16:15:03.375 12/08/2009]',-42.000
'[16:15:03.381 12/08/2009]',-27.000
'[16:15:03.388 12/08/2009]',-30.000
'[16:15:03.394 12/08/2009]',-27.000
'[16:15:03.400 12/08/2009]',-14.000
'[16:15:03.406 12/08/2009]',1.000
'[16:15:03.413 12/08/2009]',-13.000
'[16:15:03.419 12/08/2009]',7.000
'[16:15:03.425 12/08/2009]',13.000
'[16:15:03.431 12/08/2009]',-6.000
'[16:15:03.438 12/08/2009]',15.000
'[16:15:03.444 12/08/2009]',-6.000
'[16:15:03.450 12/08/2009]',8.000
'[16:15:03.456 12/08/2009]',-4.000
'[16:15:03.463 12/08/2009]',-22.000
'[16:15:03.469 12/08/2009]',1.000
'[16:15:03.475 12/08/2009]',25.000
'[16:15:03.481 12/08/2009]',4.000
'[16:15:03.488 12/08/2009]',21.000
'[16:15:03.494 12/08/2009]',15.000
'[16:15:03.500 12/08/2009]',18.000
'[16:15:03.506 12/08/2009]',35.000
'[16:15:03.513 12/08/2009]',26.000
'[16:15:03.519 12/08/2009]',23.000
'[16:15:03.525 12/08/2009]',2.000
'[16:15:03.531 12/08/2009]',22.000
'[16:15:03.538 12/08/2009]',20.000
'[16:15:03.544 12/08/2009]',2.000
'[16:15:03.550 12/08/2009]',-17.000
'[16:15:03.556 12/08/2009]',-20.000
'[16:15:03.563 12/08/2009]',-32.000
'[16:15:03.569 12/08/2009]',-24.000
'[16:15:03.575 12/08/2009]',-37.000
'[16:15:03.581 12/08/2009]',-18.000
'[16:15:03.588 12/08/2009]',-24.000
'[16:15:03.594 12/08/2009]',-32.000
'[16:15:03.600 12/08/2009]',-30.000
'[16:15:03.606 12/08/2009]',-7.000
'[16:15:03.613 12/08/2009]',-31.000
'[16:15:03.619 12/08/2009]',-21.000
'[16:15:03.625 12/08/2009]',-27.000
'[16:15:03.631 12/08/2009]',-27.000
'[16:15:03.638 12/08/2009]',-23.000
'[16:15:03.644 12/08/2009]',-18.000
'[16:15:03.650 12/08/2009]',-36.000
'[16:15:03.656 12/08/2009]',-11.000
'[16:15:03.663 12/08/2009]',-36.000
'[16:15:03.669 12/08/2009]',-24.000
'[16:15:03.675 12/08/2009]',-25.000
'[16:15:03.681 12/08/2009]',-3.000
'[16:15:03.688 12/08/2009]',-7.000
'[16:15:03.694 12/08/2009]',2.000
'[16:15:03.700 12/08/2009]',-14.000
'[16:15:03.706 12/08/2009]',-30.000
'[16:15:03.713 12/08/2009]',-21.000
'[16:15:03.719 12/08/2009]',35.000
'[16:15:03.725 12/08/2009]',82.000
'[16:15:03.731 12/08/2009]',94.000
'[16:15:03.738 12/08/2009]',69.000
'[16:15:03.744 12/08/2009]',41.000
'[16:15:03.750 12/08/2009]',32.000
'[16:15:03.756 12/08/2009]',23.000
'[16:15:03.763 12/08/2009]',17.000
'[16:15:03.769 12/08/2009]',42.000
'[16:15:03.775 12/08/2009]',28.000
'[16:15:03.781 12/08/2009]',33.000
'[16:15:03.788 12/08/2009]',37.000
'[16:15:03.794 12/08/2009]',45.000
'[16:15:03.800 12/08/2009]',53.000
'[16:15:03.806 12/08/2009]',50.000
'[16:15:03.813 12/08/2009]',58.000
'[16:15:03.819 12/08/2009]',61.000
'[16:15:03.825 12/08/2009]',21.000
'[16:15:03.831 12/08/2009]',-15.000
'[16:15:03.838 12/08/2009]',-6.000
'[16:15:03.844 12/08/2009]',-8.000
'[16:15:03.850 12/08/2009]',13.000
'[16:15:03.856 12/08/2009]',18.000
'[16:15:03.863 12/08/2009]',25.000
'[16:15:03.869 12/08/2009]',25.000
'[16:15:03.875 12/08/2009]',23.000
